date,daily_sentiment
2022-01-03,-0.88
2022-01-08,0.0
2022-01-13,-0.94
2022-01-14,-0.83
2022-01-15,-0.94
2022-01-17,-0.95
2022-01-18,0.32
2022-01-24,-0.9
2022-01-25,-0.48
2022-01-26,-0.53
2022-01-27,-0.87
2022-01-28,-0.71
2022-02-10,-0.8
2022-02-15,-0.87
2022-02-17,-0.96
2022-02-19,-0.75
2022-02-20,-0.56
2022-02-21,-0.96
2022-02-22,-0.86
2022-02-24,0.0
2022-02-25,-0.48
2022-02-27,0.0
2022-03-03,0.0
2022-03-04,-0.89
2022-03-05,0.0
2022-03-06,-0.48
2022-03-08,-0.41
2022-03-09,0.0
2022-03-10,-0.97
2022-03-11,-0.97
2022-03-14,0.0
2022-03-15,0.0
2022-03-17,-0.95
2022-03-18,0.0
2022-03-20,-0.63
2022-03-21,-0.92
2022-03-22,-0.88
2022-03-23,-0.79
2022-03-25,-0.34
2022-03-28,-0.95
2022-03-29,-0.89
2022-04-01,0.0
2022-04-04,-0.26
2022-04-05,-0.28
2022-04-06,-0.36
2022-04-07,-0.28
2022-04-08,-0.69
2022-04-09,0.0
2022-04-10,0.0
2022-04-11,-0.36
2022-04-12,-0.35
2022-04-13,-0.41
2022-04-14,-0.43
2022-04-15,-0.51
2022-04-16,-0.46
2022-04-17,-0.75
2022-04-18,-0.46
2022-04-19,0.0
2022-04-20,-0.43
2022-04-21,-0.31
2022-04-22,-0.33
2022-04-23,0.0
2022-04-24,0.0
2022-04-25,-0.24
2022-04-26,-0.55
2022-04-27,-0.5
2022-04-28,-0.38
2022-04-29,-0.37
2022-04-30,-0.79
2022-05-01,-0.6
2022-05-02,-0.86
2022-05-03,-0.16
2022-05-04,0.0
2022-05-05,0.0
2022-05-06,-0.82
2022-05-07,-0.93
2022-05-08,0.0
2022-05-09,-0.28
2022-05-10,-0.1
2022-05-11,-0.31
2022-05-12,-0.87
2022-05-13,-0.31
2022-05-14,-0.34
2022-05-15,0.0
2022-05-16,-0.42
2022-05-17,-0.63
2022-05-18,-0.49
2022-05-19,-0.5
2022-05-20,0.32
2022-05-21,-0.46
2022-05-22,-0.77
2022-05-23,0.0
2022-05-24,-0.32
2022-05-25,0.26
2022-05-27,0.0
2022-05-28,0.0
2022-05-30,-0.84
2022-05-31,0.0
2022-06-01,-0.56
2022-06-02,-0.09
2022-06-03,-0.05
2022-06-04,-0.58
2022-06-05,-0.46
2022-06-06,-0.29
2022-06-07,-0.27
2022-06-09,-0.96
2022-06-10,0.0
2022-06-12,-0.69
2022-06-13,0.0
2022-06-14,0.0
2022-06-15,0.0
2022-06-16,0.0
2022-06-17,-0.46
2022-06-18,-0.43
2022-06-21,-0.47
2022-06-22,0.0
2022-06-24,-0.91
2022-06-26,-0.75
2022-06-28,0.74
2022-07-01,-0.38
2022-07-03,0.0
2022-07-07,0.0
2022-07-08,-0.69
2022-07-09,-0.6
2022-07-10,-0.31
2022-07-11,-0.48
2022-07-12,-0.56
2022-07-13,-0.37
2022-07-14,-0.29
2022-07-15,-0.33
2022-07-16,-0.44
2022-07-18,-0.3
2022-07-19,0.0
2022-07-20,-0.84
2022-07-21,0.0
2022-07-22,-0.41
2022-07-23,-0.65
2022-07-24,0.0
2022-07-25,-0.36
2022-07-26,0.0
2022-07-29,0.0
2022-07-30,0.0
2022-08-01,0.0
2022-08-03,-0.96
2022-08-04,-0.51
2022-08-05,-0.84
2022-08-06,-0.43
2022-08-07,-0.84
2022-08-10,0.0
2022-08-11,0.0
2022-08-12,-0.96
2022-08-17,-0.39
2022-08-19,-0.95
2022-08-20,-0.93
2022-08-22,0.0
2022-08-29,-0.29
2022-08-30,-0.43
2022-08-31,0.0
2022-09-06,-0.57
2022-09-07,-0.45
2022-09-08,-0.86
2022-09-13,-0.81
2022-09-14,-0.68
2022-09-16,0.0
2022-09-27,-0.72
2022-09-28,-0.82
2022-09-30,0.0
2022-10-01,0.0
2022-10-02,0.85
2022-10-03,-0.94
2022-10-04,-0.74
2022-10-05,-0.73
2022-10-06,-0.02
2022-10-07,0.0
2022-10-08,-0.82
2022-10-09,-0.97
2022-10-10,-0.74
2022-10-13,-0.59
2022-10-14,-0.94
2022-10-15,-0.77
2022-10-16,0.0
2022-10-20,-0.47
2022-10-21,0.0
2022-10-24,-0.23
2022-10-25,-0.31
2022-10-26,-0.64
2022-10-27,-0.6
2022-10-28,-0.63
2022-10-29,-0.68
2022-10-30,-0.47
2022-10-31,-0.8
2022-11-01,-0.54
2022-11-02,-0.82
2022-11-03,0.0
2022-11-04,-0.49
2022-11-05,-0.45
2022-11-06,0.0
2022-11-07,0.0
2022-11-08,-0.23
2022-11-09,-0.41
2022-11-10,-0.32
2022-11-11,-0.24
2022-11-12,-0.77
2022-11-13,-0.6
2022-11-14,-0.4
2022-11-15,0.01
2022-11-16,-0.31
2022-11-17,-0.37
2022-11-19,0.0
2022-11-21,-0.55
2022-11-22,-0.75
2022-11-23,0.29
2022-11-24,-0.73
2022-11-26,0.0
2022-11-27,-0.47
2022-11-28,-0.81
2022-11-29,-0.22
2022-11-30,-0.32
2022-12-01,0.0
2022-12-02,0.0
2022-12-04,0.0
2022-12-05,-0.86
2022-12-08,0.0
2022-12-09,-0.49
2022-12-11,-0.45
2022-12-13,-0.55
2022-12-14,-0.04
2022-12-15,-0.37
2022-12-16,-0.36
2022-12-17,-0.92
2022-12-18,-0.91
2022-12-19,-0.48
2022-12-20,-0.77
2022-12-21,-0.4
2022-12-22,-0.24
2022-12-23,-0.15
2022-12-24,-0.64
2022-12-25,-0.85
2022-12-26,-0.91
2022-12-27,-0.55
2022-12-28,-0.46
2022-12-29,-0.18
2022-12-30,-0.12
2022-12-31,0.29
